id,category,title,definition,type,notes,source,changes
WNAI185,"Technology, Material culture, Clothing",Basketry weaves,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Basketry weaves
WNAI407,"Life cycle, Religion, Ritual","Periodic mourning ceremony, distinct from funeral, at later date",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Death: periodic mourning ceremony
WNAI114,Ecology: terrestrial mammals,"Presence of Mountain sheep, Ovis canadensis",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Mountain sheep
WNAI200,"Subsistence, Economy, Ecology: aquatic mammals, Ecology: fish",External sources of aquatic animals,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",External sources of aquatic animals
WNAI182,"Technology, Material culture, Clothing",Moccasins,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Moccasins
WNAI279,"Economy, Property",Inheritance of fishing and other aquatic animal extraction sites,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Inheritance of fishing sites
WNAI221,"Labor, Economy, Material culture","Specialized weaving of cotton, wool, or hair into garments",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Specials weave cot/wool/hair garments
WNAI187,"Subsistence, Economy",Agricultural and horticultural production,,Categorical,"NOTE:  Case 137 had a score of  0. This was changed to missing data [World Cultures 10(2), fall 1999]","Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Agricultural/horticultural production
WNAI164,"Technology, Material culture, Settlement",Dominant house type: the type preferred for winter dwelling,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Dominant house type: preferred for winter
WNAI104,Ecology: terrestrial mammals,"Presence of Lynx, Lynx canadensis",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Lynx (L.canadensis)
WNAI117,Ecology: fish,"Presence of White sturgeon, Acipenser transmontanus",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",White sturgeon
WNAI241,"Labor, Economy, Subsistence",Specialization in hunting,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Specialication in hunting
WNAI226,"Labor, Economy, Material culture",Pottery manufacture,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Pottery manufacture
WNAI44,"Ecology: vegetation, Ecology: overview","Presence of Saltbush, Atriplex argentea",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Saltbush
WNAI59,"Ecology: vegetation, Ecology: overview","Presence of Braken fern, Pteridium aquilinum",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Braken fern
WNAI158,"Technology, Material culture, Subsistence, Ecology: vegetation",Wooden food mortars,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Wooden food mortars
WNAI19,"Ecology: vegetation, Ecology: overview","Presence of Emory oak or scrub oak, Quercus emoryi",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Emory/scrub oak
WNAI97,Ecology: terrestrial mammals,"Presence of Jack rabbit, Lepus spp.",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Jack rabbit (hare)
WNAI86,Ecology: aquatic mammals,"Presence of Pacific harbor porpoise, Phocoena vomerina",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Pacific harbor porpoise
WNAI157,"Technology, Material culture, Subsistence, Ecology: vegetation",Stone food mortars,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Stone food mortars
WNAI138,Ecology: birds,"Presence of Canada goose, Branta canadensis",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Canada goose
WNAI25,"Ecology: vegetation, Ecology: overview","Presence of Lodge-pole pine, Pinus contorta",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Lodgepole pine
WNAI316,"Marriage, Kinship",Localization of demonstrated kinship units,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Localization of demonstrated kin units
WNAI224,"Labor, Economy, Material culture",Specialized hide-working,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Specialists in hide working
WNAI373,"Community organization, Ceremony",Gift-giving at public ceremonies,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Gift-giving at public ceremonies
WNAI132,Ecology: fish,"Presence of Pacific halibut, Hippoglossus steno",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Pacific halibut
WNAI180,"Technology, Material culture, Clothing",Material used for apron,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Material used for apron
WNAI66,Ecology: aquatic mammals,"Presence of Baird's beaked whale, Berardius bairdii",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Bairds beaked whale
WNAI188,"Subsistence, Economy",Agricultural products and incipient horticulture done not for food,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.","Horticulture, not for food"
WNAI88,Ecology: aquatic mammals,"Presence of Sea-otter, Enhydra lutris",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Sea otter
WNAI54,"Ecology: vegetation, Ecology: overview","Presence of Sunflower, Helianthus (all other spp.)",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Sunflower - all other Helianthus except H. annus
WNAI402,"Life cycle, Religion, Ritual",Burial position of corpse,,Categorical,"NOTE: Case 95 had a value of 5.  This was changed to missing data. [World Cultures 10(2), fall 1999]","Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Death: burial position of corpse
WNAI21,"Ecology: vegetation, Ecology: overview","Presence of Evergreen oak, Quercus undulata",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Evergreen oak
WNAI99,Ecology: terrestrial mammals,"Presence of Porcupine, Erethizon dorsatum",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Porcupine
WNAI260,"Economy, Property",Sharing of access to local food resources as a form of distribution between (or among) societies (intercommunity or extralocal residence-group redistribution),,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Share access resource areas extralocally
WNAI289,"Settlement, Community organization, Population",Community structure,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Community structure
WNAI227,"Labor, Economy, Material culture",Specialized pottery manufacture,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Specialists in pottery manufacture
WNAI412,"Religion, Ritual",Spirit quest or confirmations in sodality initiations or other group rites involving persons other than the novice,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Spirit quest: confirmation in sodality
WNAI319,"Marriage, Kinship",Relationships within the stipulated kinship unit,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Relationships within stip kin units
WNAI367,"Politics, War, Ceremony",Special fighting regalia,"These are defined as special weapons, armament, dress, or insignias.",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Special fighting regalia
WNAI37,"Ecology: vegetation, Ecology: overview","Presence of Sotol, Dasylerion wheeleri",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Sotol
WNAI90,Ecology: aquatic mammals,"Presence of Guadalupe fur-seal, Arctophoca townsendii",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Guadalupe fur-seal
WNAI380,"Life cycle, Religion, Ritual",Twins,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Birth: twins
WNAI270,"Economy, Property","Ownership of key hunting sites, i.e., deadfalls, deer runs, sites for catching eagles, fowl nesting areas, game tracts, etc",,Categorical,"NOTE: Case 123 had a score of 11.  This was changed to missing data [World Cultures 10(2), fall 1999]","Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Ownership of key hunting sites
WNAI43,"Ecology: vegetation, Ecology: overview","Presence of Lambsquarter, Chenopodium album",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Lambsquarter
WNAI172,"Technology, Material culture, Clothing",Robes or capes made of fur,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Robes/capes made of fur
WNAI302,"Marriage, Kinship",Exchange of gifts (goods and services) between relatives of the bride and groom at marriage: initial exchanges made prior to and through the nuptial rite,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Exchges btwn rels of spouses @ marriage
WNAI162,"Technology, Material culture, Subsistence, Economy",Salt (sodium chloride) added to food,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Salt added to food
WNAI23,"Ecology: vegetation, Ecology: overview","Presence of Single-leaf pinyon pine, Pinus monophylla",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Single-leaf pinyon pine
WNAI144,"Technology, Material culture, Subsistence, Ecology: terrestrial mammals",Deadfalls for snaring land mammals,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Deadfalls for land mammals
WNAI57,"Ecology: vegetation, Ecology: overview","Presence of Tobacco-root or Bitterroot, Valeriana edulis",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Tobacco-root/bitterroot
WNAI146,"Technology, Material culture, Subsistence, Ecology: fish",Fish weirs and traps,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Fish weirs and traps
WNAI236,"Labor, Economy, Subsistence",Specialization in gathering,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Specialists in gathering
WNAI293,"Marriage, Kinship",Dominant form of marriage,Dominant form is about 60 percent or more of all marriages,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Dominant form of marriage
WNAI87,Ecology: aquatic mammals,"Presence of Dall's porpoise, Phocoenoides dalli",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Dalls porpoise
WNAI38,"Ecology: vegetation, Ecology: overview","Presence of Prickly-pear cactus, Opuntia engelmannii (and other prickly-pear spp.)",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Prickly-pear cactus
WNAI331,Kinship,Kinship terms for uncles,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Kinship terms for uncles
WNAI419,"Religion, Ritual","Shamans' reputations for miraculous powers for curing, controlling weather, etc",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Shaman: reputations for great power
WNAI355,"Politics, War, Community organization",Raids motivated by desire for women (wife-stealing),,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Raids for women
WNAI139,Ecology: birds,"Presence of Mallard duck, Amas platyrhynchos",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Mallard duck
WNAI290,"Settlement, Community organization, Population",Community segmentation,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Community segmentation
WNAI150,"Technology, Material culture, Subsistence, Ecology: vegetation",Kinds of digging sticks,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Kinds of digging sticks
WNAI40,"Ecology: vegetation, Ecology: overview","Presence of Sand-root, Ammobroma sonorae",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Sand-root
WNAI47,"Ecology: vegetation, Ecology: overview","Presence of Indian millet, Eriocoma cuspidata",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Indian millet
WNAI167,"Technology, Material culture, Settlement",House-covering made of bark or mats,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",House-covering made of bark or mats
WNAI83,Ecology: aquatic mammals,"Presence of Pacific killer-whale, Grampus rectipinna",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Pacific killer-whale
WNAI400,"Life cycle, Religion, Ritual, Material culture",Dominant containers for corpse or cremation remains,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Death: containers or cremation (corpse)
WNAI431,"Religion, Ritual",Performers of contagious or formulaic magic,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Performers of contagious/formulaic magic
WNAI377,"Life cycle, Religion, Ritual",Parturition seclusion,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Birth: parturition seclusion
WNAI215,"Subsistence, Economy, Technology, Material culture",Major storage place for food: the place most preferred or frequently used,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Major storage place for food
WNAI405,"Life cycle, Religion, Ritual, Material culture, Property, Dwelling",Treatment of dominant house type after death,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Death: treatment of house after death
WNAI160,"Technology, Material culture, Subsistence",Method of drying meat,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Method of drying meat
WNAI417,"Religion, Ritual",Snake-handling by shamans,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Shaman: snake-handling
WNAI308,"Marriage, Kinship",Dominant form of postnuptial household residence,"The dominant form is the one that probably more than 50 percent of the households observe. Residence can be within, or adjacent to, the house of the mother, father, male kinsman, etc., in a unilocal situation. This typology is used to classify ""household units."" Residence terms will also be used to classify ""community settlement patterns."" It is important to keep household and community separate.",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Dominant post-nuptial residence form
WNAI31,"Ecology: vegetation, Ecology: overview","Presence of Mescal, Agave deserti",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Mescal - Agave deserti
WNAI275,"Economy, Property","Ownership of women's chattels (movable property such as coppers, blankets, clothes, tools, etc.)",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Ownership of womens chattels
WNAI394,"Life cycle, Religion, Ritual",Girls' puberty rites or female initiations near puberty: Food taboos,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Girls puberty: food taboos
WNAI398,"Life cycle, Religion, Ritual",Girls' puberty rites or female initiations near puberty: Repetition of public ceremony,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Girls puberty: repetition of public cer
WNAI240,"Labor, Economy, Subsistence",Role of children and the aged in hunting,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Roles of child/aged in hunting
WNAI193,"Subsistence, Economy",Probable percentage of diet contributed by agricultural foodstuffs acquired locally,,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Percent diet from local agriculture
WNAI225,"Labor, Economy, Material culture",Production task-groups in leather-hide-working,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Task-groups work leather/hides
WNAI310,"Marriage, Kinship",Initial temporary form of postnuptial household residence,"Initial form of residency can last a week, a month, a year, until the first child is born, etc. the important point is that the initial form is regarded as temporary and that a permanent form follows.",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Initial temporary post-nuptial res form
WNAI246,"Labor, Economy, Subsistence",Specialization in fishing,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Specialists in aquatic animal extraction
WNAI332,Kinship,Kinship terms for aunts,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Kinship terms for aunts
WNAI194,"Subsistence, Economy",Probable percentage of diet contributed by agricultural foodstuffs acquired extralocally,,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Percent diet from ext. agriculture sources
