dataset,soc_id,xd_id,pref_name_for_society,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,EA_society_equivalent1,EA_society_equivalent2,SCCS_society_equivalent,CHIRILA_society_equivalent,HRAF_name_ID,HRAF_link,WNAI_society_equivalent1,WNAI_society_equivalent2,WNAI_society_equivalent3
Binford,B230,xd1194,Uintah Ute,Uintah Ute (B230),"Tompanowots, Yampa",1860,Uintah (Nd58),,,,,,Uintah Ute (J129),,
Binford,B225,xd1196,Washo,Washo (B225),,1850,Washo (Nd6),,,,Washo (NT20),in process,Washo (J119),,
Binford,B234,xd1199,Uncompahgre Ute,Uncompahgre Ute (B234),Mowataviwatsiu,1860,Uncompahgre (Nd62),,,,,,Uncompaghre Ute (J130),,
Binford,B252,xd1200,Bannock,Bannock (B252),Eastern Bannock,1860,Bannock (Nd63),,,,,,,,
Binford,B227,xd1201,Wind River Eastern Shoshone,Wind River Shoshoni (B227),"Wind River, Eastern Shoshoni, Kucundika, Buffalo Hunters, Buffalo-Eater",1860,Wind River (Nd64),,,,,,Wind River Shoshone (J128),,
Binford,B198,xd1202,Hualapai,Walapai (B198),Walapai,1870,Walapai (Nd65),,,,,,Walapai (J137),,
Binford,B196,xd1203,Yavapai,Yavapai (B196),Apache-Mojave,1870,Yavapai (Nd66),,,,,,Northeast Yavapai (J138),Southeast Yavapai (J139),
Binford,B250,xd1205,Kutenai,Kutenai (B250),"Ktunaxa, Kootenay, Kootenai",1880,Kutenai (Nd7),,Kutenai (SCCS139),,,,Kutenai (J106),,
Binford,B348,xd1206,Chilcotin,Chilcotin (B348),Tsilhqot'in,1880,Chilcotin (Nd8),,,,,,Chilcotin (J95),,
Binford,B276,xd1207,Lillooet,Lillooet (B276),"St'at'imc, Stlatlum",1860,Lillooet (Nd9),,,,,,Upper Lillooet (J97),,
Binford,B253,xd1208,Gros Ventre,Gros-Ventre (B253),"A'ani, A'aninin, Haaninin",1870,Gros Ventre (Ne1),,Gros Ventre (SCCS140),,Gros Ventre (NQ13),http://ehrafworldcultures.yale.edu/collection?owc=NQ13,,,
Binford,B257,xd1210,Assiniboine,Assiniboine (B257),"Hohe, Nakota, Stoney",1870,Assiniboin (Ne11),,,,Assiniboine (NF04),http://ehrafworldcultures.yale.edu/collection?owc=NF04,,,
Binford,B256,xd1211,Blackfoot,Blackfoot (B256),Siksika,1850,Blackfoot (Ne12),,,,Blackfoot (NF06),http://ehrafworldcultures.yale.edu/collection?owc=NF06,,,
Binford,B259,xd1212,Kainai,Blood (B259),"Blood, Kainah, Blood Tribe",1850,Blood (Ne13),,,,Blackfoot (NF06),http://ehrafworldcultures.yale.edu/collection?owc=NF06,,,
Binford,B254,xd1213,Bungi,Bungi (Plains Ojibwa) (B254),"Plains Ojibwa, Bungee, Manitoba Saulteaux, Ojibway, Ojibwe",1850,Bungi (Ne14),,,,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,,,
Binford,B193,xd1215,Karankawa,Karankawa (B193),,1800,Karankawa (Ne16),,,,,,,,
Binford,B243,xd1216,Kiowa,Kiowa (B243),,1870,Kiowa (Ne17),,,,,,,,
Binford,B255,xd1217,Piegan,Piegan (B255),Pikuni,1850,Piegan (Ne18),,,,Blackfoot (NF06),http://ehrafworldcultures.yale.edu/collection?owc=NF06,,,
Binford,B258,xd1218,Plains Cree,Plains Cree (B258),,1850,Plains Cree (Ne19),,,,,,,,
Binford,B244,xd1219,Kiowa Apache,Kiowa Apache (B244),"Naisha Dene, Na'isha",1860,Kiowa Apache (Ne2),,,,,,,,
Binford,B194,xd1221,Coahuilteco,Coahuilenos (B194),,1715,Coahuilteco (Ne21),,,,,,,,
Binford,B241,xd1222,Comanche,Comanche (B241),,1870,Comanche (Ne3),,Comanche (SCCS147),,Comanche (NO06),http://ehrafworldcultures.yale.edu/collection?owc=NO06,,,
Binford,B248,xd1223,Crow,Crow (B248),Apsaalooké,1870,Crow (Ne4),,,,Crow (NQ10),http://ehrafworldcultures.yale.edu/collection?owc=NQ10,,,
Binford,B245,xd1224,Cheyenne,Cheyenne (B245),,1860,Cheyenne (Ne5),,,,,,,,
Binford,B260,xd1226,Sarcee,Sarsi (B260),"Tsuu, Sarci",1880,Sarsi (Ne7),,,,,,,,
Binford,B249,xd1227,Teton,Teton Sioux (Lakota) (B249),,1870,Teton (Ne8),,,,,,,,
Binford,B246,xd1228,Arapaho,Arapaho (B246),"Hinono'eiteen, Arapahoe",1860,Arapaho (Ne9),,,,Arapaho (NQ06),in process,,,
Binford,B242,xd1259,Chiricahua,Chiricahua Apache (B242),"Chiricahua Apache, Eastern Apache",1880,Chiricahua (Nh1),,Chiricahua (SCCS148),,Eastern Apache (NT08),http://ehrafworldcultures.yale.edu/collection?owc=NT08,Warm Springs Chiricahua Apache (J152),Huachuca Chiricahua Apache (J153),
Binford,B240,xd1275,Lipan Apache,Lipan Apache (B240),Lipan,1880,Lipan (Nh24),,,,,,Lipan Apache (J155),,
Binford,B143,xd1289,Seri,Seri (B143),Comcaac,1900,Seri (Ni4),,,,Seri (NU31),in process,,,
Binford,B191,xd1290,Chichimeca,Chichimec (B191),Chichimec,1570,Chichimec (Ni5),,,,,,,,
Binford,B35,xd1330,Paraujano,Paraujano (B35),Onoto,1950,Paraujano (Sb5),,,,,,,,
Binford,B38,xd1345,Pumé,Yaruro-Pume (B38),Yaruro,1989,Yaruro (Sc2),,,,Pumé (SS19),http://ehrafworldcultures.yale.edu/collection?owc=SS19,,,
Binford,B39,xd1347,Guahibo,Guahibo (B39),,1960,Guahibo (Sc4),,,,,,,,
Binford,B36,xd1358,Shiriana,Shiriana (B36),"Kirishana, Xiriana",1960,Shiriana (Sd6),,,,Yanoama (SQ18),http://ehrafworldcultures.yale.edu/collection?owc=SQ18,,,
Binford,B43,xd1362,Sirionó,Siriono (B43),"Miá, Siriono",1940,Siriono (Se1),,Siriono (SCCS173),,Siriono (SF21),http://ehrafworldcultures.yale.edu/collection?owc=SF21,,,
Binford,B55,xd1383,Yahgan,Yaghan (B55),,1870,Yahgan (Sg1),,Yahgan (SCCS186),,Yahgan (SH06),http://ehrafworldcultures.yale.edu/collection?owc=SH06,,,
Binford,B54,xd1385,Ona,Ona (B54),,1880,Ona (Sg3),,,,Ona (SH04),http://ehrafworldcultures.yale.edu/collection?owc=SH04,,,
Binford,B51,xd1386,Tehuelche,Tehuelche (B51),Patagon,1870,Tehuelche (Sg4),,Tehuelche (SCCS185),,Tehuelche (SH05),http://ehrafworldcultures.yale.edu/collection?owc=SH05,,,
Binford,B53,xd1387,Alacaluf,Alacaluf (B53),Kawésqar,1900,Alacaluf (Sg5),,,,,,,,
Binford,B41,xd1397,Bororo,Bororo (B41),,1920,Bororo (Si1),,,,Bororo (SP08),http://ehrafworldcultures.yale.edu/collection?owc=SP08,,,
Binford,B45,xd1401,Nambikwara,Nambikwara (B45),Nambicura,1938,Nambicura (Si4),,Nambicuara (SCCS174),,Nambicuara (SP17),http://ehrafworldcultures.yale.edu/collection?owc=SP17,,,
Binford,B42,xd1403,Guató,Guato (B42),Guato,1901,Guato (Si6),,,,,,,,
Binford,B50,xd1411,Aweikoma,Aweikomo (B50),"Xokleng, Shokleng, Botocudo of Santa Catarina, Bugre, Kaingang of Santa Catarina (though Aweikoma and Kaingang today considered separate groups)",1910,Aweikoma (Sj3),,Aweikoma (SCCS180),,Xokleng (SM03),http://ehrafworldcultures.yale.edu/collection?owc=SM03,,,
Binford,B48,xd1413,Aimoré,Botocudo (B48),"Nac-nanuk, Nac-poruk, Botocudo",1880,Botocudo (Sj5),,Botocudo (SCCS178),,,,,,
Binford,B165,xd1418,Kashaya Pomo,Southern Pomo (B165),"Southwest dialect, Southern Pomo",1860,,,,,,,,,
Binford,B70,xd2,Dorobo,Dorobo (B70),"Andorobo, Okiek, Wandorobbo",1920,Dorobo (Aa2),,,,Okiek (FL20),http://ehrafworldcultures.yale.edu/collection?owc=FL20,,,
Binford,B65,xd5,Mbuti,Mbuti (B65),"Sua, BaSua, Kango, BaKango, Bambuti, BaMbuti Pygmies",1930,Mbuti (Aa5),,Mbuti (SCCS13),,Mbuti (FO04),http://ehrafworldcultures.yale.edu/collection?owc=FO04,,,
Binford,B25,xd617,Nivkh,Gilyak (B25),Gilyak,1920,Gilyak (Ec1),,Gilyak (SCCS119),,Nivkh (RX02),http://ehrafworldcultures.yale.edu/collection?owc=RX02,,,
Binford,B27,xd620,Nganasan,Nganasan (B27),Tavgi Samoyed,1933,Nganasan (ec12),,,,Samoyed_with_notes_on_Nganasan (RU04),http://ehrafworldcultures.yale.edu/collection?owc=RU04,,,
Binford,B28,xd622,Ungazikmit,Siberian Eskimo (B28),"Eskaleut, Asian Eskimo",1860,Ungazikmit (ec14),,,,,,,,
Binford,B26,xd634,Yukaghir,Yukaghir (B26),,1900,Yukaghir (Ec6),,Yukaghir (SCCS120),,,,,,
Binford,B22,xd635,Ainu,Ainu (B22),"Ainu (Hokkaido), Hokkaido",1900,Ainu (Ec7),,Ainu (SCCS118),,Ainu (AB06),http://ehrafworldcultures.yale.edu/collection?owc=AB06,,,
Binford,B24,xd636,Ket,Ket (B24),"Yenisei Ostyak, Yeniseians",1900,Ket (Ec8),,,,,,,,
Binford,B15,xd672,Chenchu,Chenchu (B15),,1940,Chenchu (Eg1),,,,,,,,
Binford,B8,xd686,Andamanese,Big Andaman Island (B8),"Big Andaman Island, Andamese",1870,Andamese (Eh1),,Andamanese (SCCS79),,Andamans (AZ02),http://ehrafworldcultures.yale.edu/collection?owc=AZ02,,,
Binford,B10,xd690,Vedda,Vedda (B10),"Wanniyalaeto, Veddah",1900,Vedda (Eh4),,Vedda (SCCS80),,Vedda (AX05),http://ehrafworldcultures.yale.edu/collection?owc=AX05,,,
Binford,B73,xd7,Naron,Nharo (B73),Aikwe,1910,Naron (Aa7),,,,,,,,
Binford,B9,xd725,Semang,Semang (B9),,1920,Semang (Ej3),,Semang (SCCS77),,Semang (AN07),http://ehrafworldcultures.yale.edu/collection?owc=AN07,,,
Binford,B3,xd757,Anak Dalam,Kubu (B3),"Orang Batin Sembilan, Orang Rimba, Kubu",1900,Kubu (Ib8),,,,,,,,
Binford,B1,xd758,Punan,Punan (B1),0,1970,Punan (Ib9),,,,,,,,
Binford,B124,xd772,Northern Aranda,Northern Arenda (B124),"Aranda (Northern), Northern Arenda, Arunta",1900,Aranda (Id1),,Aranda (SCCS91),Eastern and Central Arrernte (1048),Aranda (OI08),http://ehrafworldcultures.yale.edu/collection?owc=OI08,,,
Binford,B109,xd773,Walbiri,Walbiri (B109),Warlpiri,1965,Walbiri (Id10),,,Warlpiri (192),,,,,
Binford,B87,xd774,Gidjingali,Gidjingali (B87),"Burarra, Gun-nartpa",1950,Gidjingali (Id11),,,Burarra (1143),,,,,
Binford,B94,xd775,Yir Yoront,Yir-yoront (B94),,1937,Yir Yoront (Id12),,,Yir-Yoront (27),,,,,
Binford,B97,xd776,Anindilyagwa,Groote Eylandt (B97),"Enindilywakwa, Groote Eylandt, Groote Eyelandt",1930,Groote Eylandt (Id13),,,Anindilyakwa (1229),,,,,
Binford,B88,xd777,"Yolngu, Dhuwal",Murngin (B88),"Murngin, Wulamba, Dhuwal",1930,Murngin (Id2),,,Dhuwal (1093),Murngin (OI17),in process,,,
Binford,B95,xd778,Tiwi,Tiwi (B95),,1920,Tiwi (Id3),,Tiwi (SCCS90),Tiwi (300),Tiwi (OI20),http://ehrafworldcultures.yale.edu/collection?owc=OI20,,,
Binford,B121,xd779,Diyari,Dieri (B121),"Dieri, Dieri",1900,Dieri (Id4),,,Diyari (1088),,,,,
Binford,B106,xd780,Kariyarra,Kariera (B106),Kariera,1910,Kariera (Id5),,,Kariyarra (855),,,,,
Binford,B90,xd781,Wikmunkan,Wikmunkan (B90),Wikmunkun,1920,Wikmunkan (Id6),,,Wik-Mungkan (138),,,,,
Binford,B137,xd783,Tasmanians (northwestern),Tasmanians (western) (B137),"Palawa, Tasmanians (northwestern), Tasmanians (Western), Tasmanians (West Coast)",1830,Tasmanians (Id8),,,,Tasmanians (OI19),in process,,,
Binford,B130,xd784,Ngiyambaa,Wongaibon (B130),Wongaibon,1910,Wongaibon (Id9),,,Ngiyambaa (520),,,,,
Binford,B79,xd8,/Xam,/Xam (B79),"Xam, Cape Bushman",0,Xam (Aa8),,,,,,,,
Binford,B69,xd9,Hadza,Hadza (B69),"Hadzabe, Hatsa Kindiga, Hadza, Kindiga",1910,Hatsa Kindiga (Aa9),,Hadza (SCCS9),,,,,,
Binford,B2,xd900,Palawan Batak,Batek (B2),"Batek, Batak, Batek (Palawan), Palawan",1968,,,,,,,,,
Binford,B4,xd901,Shompen,Shompen (B4),Shamhap,1989,,,,,,,,,
Binford,B5,xd902,Onge,Onge (B5),"Andaman Islands (Onge), Onge Andamanese",1952,,,,,,,,,
Binford,B6,xd903,Jarawa,Jarwa (B6),"Andaman Islands (Jarwa), Jarawa Andamanese",1906,,,,,,,,,
Binford,B7,xd904,Ayta (Pinatubo),Ayta (Pinatubo) (B7),,1903,,,,,,,,,
Binford,B11,xd905,Hill Pandaram,Hill Pandaran (B11),"Hill Pandaran, Malapantāram, Malapandaram",1972,,,,,,,,,
Binford,B12,xd906,Agta (Casiguran),Agta (Casiguran) (B12),,1965,,,,,,,,,
Binford,B13,xd907,Agta (Isabela),Agta (Isabela) (B13),,1979,,,,,,,,,
Binford,B14,xd908,Agta (Cagayan),Agta (Cagayan) (B14),,1924,,,,,,,,,
Binford,B16,xd909,Mlabri,Mrabri (B16),Mrabri,1963,,,,,,,,,
Binford,B17,xd910,Paliyans,Paliyans (B17),,1963,,,,,,,,,
Binford,B18,xd911,Birhor,Birhor (B18),,1963,,,,,,,,,
Binford,B19,xd912,Kadar,Kadar (B19),,1946,,,,,,,,,
Binford,B20,xd913,Cholanaikkan,Cholanaickan (B20),"Malanaikan, Sholanaikan, Cholanaickan",1974,,,,,,,,,
Binford,B21,xd914,Nayaka,Nayaka (B21),,1978,,,,,,,,,
Binford,B23,xd915,Orogens,Orogens (B23),,1900,,,,,,,,,
Binford,B37,xd916,Akurio,Akuriyo (B37),Akuriyo,1968,,,,,,,,,
Binford,B40,xd917,Nukak,Nukak (B40),Macu Nukak,1990,,,,,,,,,
Binford,B44,xd918,Yuqui,Yuqui (B44),Mbia,1968,,,,,,,,,
Binford,B46,xd919,Calusa,Calusa (B46),,1600,,,,,,,,,
Binford,B47,xd920,Aché,Guayaki (Ache) (B47),"Guayaki (Ache), Guayaki, Ache",1975,,,,,,,,,
Binford,B49,xd921,Héta,Heta (B49),Heta,1954,,,,,,,,,
Binford,B52,xd922,Chono,Chono (B52),Chona,1880,,,,,,,,,
Binford,B60,xd923,Aka,Aka (B60),,1980,,,,,,,,,
Binford,B61,xd924,Bayaka,Bayaka (B61),,1976,,,,,,,,,
Binford,B62,xd925,Bambote,Bambote (B62),Bambote of Lake Tanganyika,1977,,,,,,,,,
Binford,B63,xd926,Baka,Baka (B63),Baka Pygmies,1980,,,,,,,,,
Binford,B64,xd927,Efe,Efe (B64),"BaMbuti, Mbuti, Bambuti Pygmies",1980,,,,,,,,,
Binford,B66,xd928,Mikea,Mikea (B66),"Vezo-Mikea, Masikoro-Mikea",0,,,,,,,,,
Binford,B67,xd929,Hukwe,Hukwe (B67),,1950,,,,,,,,,
Binford,B68,xd930,Ha//om,Hai//om (B68),Hai//om,1920,,,,,,,,,
Binford,B71,xd931,Sekele,Sekele (B71),,1928,,,,,,,,,
Binford,B74,xd932,G/wi,G/wi (B74),,1962,,,,,,,,,
Binford,B75,xd933,Kua,Kua (B75),,1976,,,,,,,,,
Binford,B76,xd934,!Ko,!Ko (B76),,1968,,,,,,,,,
Binford,B77,xd935,/'Auni-Khomani,/Auni-Khomani (B77),/Auni-Khomani,1920,,,,,,,,,
Binford,B78,xd936,//Xegwi,//Xegwi (B78),Batwa (Lake Chrissie),1950,,,,,,,,,
Binford,B82,xd937,Kaurareg,Kaurareg (B82),,1848,,,,Kala Lagaw Ya (96),,,,,
Binford,B83,xd938,Larikia,Larikia (B83),,1900,,,,Larrakiya (759),,,,,
Binford,B84,xd939,Gunwinygu,Gunwinggu (B84),Gunwinggu,1978,,,,Gunwinygu (936),,,,,
Binford,B85,xd940,Mirrngadja,Mirrngadja (B85),,1970,,,,Djinba (1066),,,,,
Binford,B86,xd941,Burarra,Anbarra (B86),"Anbarra, Gun-nartpa",1973,,,,Burarra (1143),,,,,
Binford,B89,xd942,Yiiji,Jeidji (B89),Jeidji,1920,,,,Wunambal (81),,,,,
Binford,B91,xd943,Kaakutju,Kakadu (B91),Kakadu,1920,,,,Gagudju (1458),,,,,
Binford,B92,xd944,Nunggubuyu,Nunggubuyu (B92),Wubuy,1960,,,,Wubuy (94),,,,,
Binford,B93,xd945,Yintjingga,Yintjingga (B93),,1930,,,,Umpila (283),,,,,
Binford,B96,xd946,Kuku (Yalanji),Kuku (Yalanji) (B96),Yuku,1880,,,,Kuku Yalanji (802),,,,,
Binford,B98,xd947,Walmbaria,Walmbaria (B98),,1926,,,,Flinders Island (1044),,,,,
Binford,B99,xd948,Mulluk,Mulluk (B99),Malakmalak,1900,,,,Malak Malak (738),,,,,
Binford,B100,xd949,Worrorra,Worora (B100),Worora,0,,,,Worrorra (99),,,,,
Binford,B101,xd950,Kija,Lungga (B101),"Kija, Lungga, Kija, Lungka",1934,,,,Kija (841),,,,,
Binford,B102,xd951,Lardil,Lardil (B102),,1909,,,,Lardil (760),,,,,
Binford,B103,xd952,Kaiadilt,Kaiadilt (B103),Kayardild,1928,,,,Kayardild (846),,,,,
Binford,B104,xd953,Karajarri,Karadjeri (B104),Karadjeri,0,,,,Karajarri (860),,,,,
Binford,B105,xd954,Mamu,Mamu (B105),,1900,,,,Dyirbal (1050),,,,,
Binford,B107,xd955,Warunggu,Warunggu (B107),Woronggo,1870,,,,Warungu (179),,,,,
Binford,B108,xd956,Djaru,Djaru (B108),Jaru,1934,,,,Jaru (888),,,,,
Binford,B110,xd957,Ngatjan,Ngatjan (B110),,1880,,,,Dyirbal (1050),,,,,
Binford,B111,xd958,Mardudjara,Mardudjara (B111),Ngatjan,1960,,,,Manjiljarra (714),,,,,
Binford,B112,xd959,Ildawongga,Ildawongga (B112),,1968,,,,Warnman (188),,,,,
Binford,B113,xd960,Pintubi,Pintubi (B113),,1936,,,,Pintupi (419),,,,,
Binford,B114,xd961,Undanbi,Undanbi (B114),Undambi,1848,,,,Turubul (291),,,,,
Binford,B115,xd962,Jinibarra,Jinibarra (B115),,1840,,,,Duungidjawu (1051),,,,,
Binford,B116,xd963,Karuwali,Karuwali (B116),,1900,,,,Karuwali (849),,,,,
Binford,B117,xd964,Alyawara,Alyawara (B117),,1965,,,,Alyawarr (1239),,,,,
Binford,B118,xd965,Ngatatjara,Ngatatjara (B118),,1968,,,,Ngaanyatjarra (577),,,,,
Binford,B119,xd966,Badjalang,Badjalang (B119),,1850,,,,Bandjalang (1203),,,,,
Binford,B120,xd967,Pitjandjara,Pitjandjara (B120),Pitjantjatjara,1968,,,,Pitjantjatjara (413),,,,,
Binford,B122,xd968,Southern Aranda,Southern Arenda (B122),"Aranda (Southern), Southern Arenda",1870,,,,Lower Southern Aranda (750),,,,,
Binford,B123,xd969,Jankundjara,Jankundjara (B123),Yankunytjatjara,1922,,,,Yankunytjatjara (53),,,,,
Binford,B125,xd970,Yuwaalaraay,Ualarai (B125),Ualarai,1880,,,,Yuwaalaraay (5),,,,,
Binford,B126,xd971,Nakako,Nakako (B126),,1912,,,,NA (413),,,,,
Binford,B127,xd972,Ooldea,Ooldea (B127),,1941,,,,Wirangu (121),,,,,
Binford,B128,xd973,Paakintji,Barkindji (B128),Barkindji,1890,,,,Paakantyi (444),,,,,
Binford,B129,xd974,Kaurna,Kaurna (B129),Karuna,1840,,,,Kaurna (847),,,,,
Binford,B131,xd975,Yaraldi,Jaralde (B131),Jaralde,1850,,,,Yaraldi (50),,,,,
Binford,B132,xd976,Mirniny,Mineng (B132),"Mirniny, Mineng, Mount Barker Tribe, Minang, Noongar",1850,,,,Ngatjumaya (529),,,,,
Binford,B133,xd977,Tjapwurong,Tjapwurong (B133),,1850,,,,Tjapwurrung (297),,,,,
Binford,B134,xd978,Bunurong,Bunurong (B134),,1850,,,,Boonwurrung (1164),,,,,
Binford,B135,xd979,Kurnai,Kurnai (B135),,1850,,,,Kurnai (36),,,,,
Binford,B136,xd980,Tasmanians (southeastern),Tasmanians (eastern) (B136),"Palawa, Tasmanians (southern), Tasmanians (eastern), Tasmanians (East Coast)",1830,,,,,,,,,
Binford,B168,xd983,Coast Miwok,Coast Miwok (B168),,1850,,,,,,,,,
Binford,B190,xd985,Guaicura,Guaicura (B190),Guaycura,1760,,,,,,,,,
Binford,B203,xd988,Kawich Mountain Shoshoni,Kawich Mountain Shoshoni (B203),,1860,,,,,,,,,
Binford,B205,xd989,Mono Lake Northern Paiute,Mono Lake Paiute (B205),"Kutzadika'a, Mono Lake Paiute, Kutzadika",1870,,,,,,,,,
Binford,B209,xd991,Timponogas,Ute-timanogas (B209),"Timponogas Ute, Ute-timanogas, Ute-timpanogas, Ute-timinogas",1860,,,,,,,,,
Binford,B212,xd992,Wadatkuht,Honey Lake Paiute (B212),Honey Lake Paiute,1870,Wadatkuht (Nd26),,,,Northern Paiute (NR13),http://ehrafworldcultures.yale.edu/collection?owc=NR13,,,
Binford,B219,xd993,North Fork Mono,North Fork Mono Paiute (B219),"Mono (North Fork), Mono-North Fork Paiute, Norfolk Mono",1860,,,,,,,San Joaquin Mono (Uto-Aztecan) (J71),,
Binford,B223,xd994,Bear Creek Northern Paiute,Bear Creek Paiute (B223),Bear Creek Paiute,1870,,,,,,,,,
Binford,B215,xd995,Spring Valley Shoshoni,Spring Valley Shoshoni (B215),Spring Valley,1870,Spring Valley (Nd39),,,,,,Spring Valley Shoshone (J121),,
Binford,B224,xd995,Antelope Valley Shoshoni,Antelope Valley Shoshoni (B224),"Spring Valley, Antelope Valley Shoshoni",1860,Spring Valley (Nd39),,,,,,Spring Valley Shoshone (J121),,
Binford,B272,xd997,Chehalis,Chehalis (B272),,1880,,,,,,,,,
Binford,B293,xd998,Gitxsan,Gitksan (B293),Gitksan,1880,,,,,,,Gitksan Tsimshian (J6),,
Binford,B294,xd999,Konaig,Konaig (B294),,1840,,,,,,,,,
