Variable name,,,,,,Variable name,,Detailed description,,,,,
5,Endogamous segmented,,,,,,,,,,,,
NA,NA,,,,,,,,,,,,
,,,,,,,,,,,,,
B901_COMSTFUN,,,,,317,,,,,,,,
"DW - The functions and properties of structures with specific community-wide functions.  These are not residences, nor are they multifunctional residences.",,,,,,,,,,,,,
CODE,DESCRIPTION,NOTES,,,,,,,,,,,
1,No permanent community structures,,,,,,,,,,,,
2,Rituals and ceremmonies held in host's residence,,,,,,,,,,,,
3,Sweat lodge,,,,,,,,,,,,
4,Dance house,,,,,,,,,,,,
5,"Dance house or men's house, and sweat house",,,,,,,,,,,,
6,Functionally specific community house,,,,,,,,,,,,
7,Complex of community structures present,,,,,,,,,,,,
,,,,,,,,,,,,,
B901_OWNERS,,,,,322,,,,,,,,
DW - Ownership of resource locations  (p.426),,,,,,,,,,,,,
,,,,,,,,,,,,,
CODE,DESCRIPTION,NOTES,,,,,,,,,,,
Value,Description,,,,,,,,,,,,
1,None reported,,,,,,,,,,,,
2,"Local groups claims exclusive rights over resource locations, residential sites and home range",,,,,,,,,,,,
3,"Local group claims hunting areas, dominant animals, fishing sites and animal drive locations",,,,,,,,,,,,
4,Elite ownership of land and resources,,,,,,,,,,,,
