EA_ID,Society_name_EA,Harmonized_society_name,EA_Alternate_name,EA_revisedFocalYear,EA_references
Ag15,Balante,Balante,NA,1930,"Bernatzik, H. A.  1933.  Aethiopien des Westen.  2V. Wien.
"
Ag16,Banyune,Banyune,Bainuk,1930,"Bernatzik, H. A.  1933.  Aethiopien des Westen.  2V. Wien.
Nogueira, A. I. P.  1947.  Monografia sobre a tribo Banhun.  Bol. Cultural Guine Port. 2: 973-1008.
"
Ag17,Biafada,Biafada,NA,1940,"Gomes, Barbosa, O. C.  1946.  Breve noticia dos caracteres etnicos dos indigenas da tribo Biafada. Bol. Cultural Guine Port. 1: 205-274.
"
Ag18,Bijogo,Bijogo,Bijago,1930,"Bernatzik, H. A.  1933.  Aethiopien des Westen.  2V. Wien.
Bernatzik, H. A.  1944.  Im Reiche der Bidyogo.  Innsbruck.                                                                                                                                                                                                                                 Mendes Moreira, .  1946.  Beve ensaio etnografico acerca dos Bijagos. Bol. Cultural Guine Port.  1: 69-115.
Santos Lima, A. J.  1947.  Organizacao economica e social dos Bijagos. Cent. Estudos Guine Port. 2: 1-154.
"
Ag19,Diola,Diola,NA,1930,"Bernatzik, H. A.  1933.  Aethiopien des WEsten.  2V. Wien.
Cunha Taborde, A.  de.  1950.  Apontamentos etnograficos sobre as Felupes de Suzana. Bol. Cultural Guine Port. 5: 187-223.
"
Ag2,Yatenga,Yatenga,"Massi, Moshi",1950,"Tauxier, L.  1917.  Le noir du Yatenga.  Paris. 
Hammond, P. B. (University of Pittsburgh).  Unpublished field notes.
Hammond, P. B.  1964.  Mossi Joking.  Ethnology 3:  259-267.
Yatenga, Mossi.  L: 13N, 2W. T: 1950.  P: 700,000 in 1960. B:  I, 125:  IV, 248.  Additional references.
Hammond, P. B.  1966.  Yatenga.  New York.
Izard-Heritier, F., and M. Izard.  1959.  Les Mossi du Yatnga.  Bordeaux.
"
Ag20,Pepel,Pepel,NA,1930,"Bernatzik, H. A.  1933.  Aethiopien des Westen.  2V. Wien.
"
Ag21,Bassari,Bassari,Biyan,1910,"Lestrange, M. de.  1950.  Les Coniagui et les Bassari. Paris.
"
Ag22,Serer,Serer,Kegueme,1920,"Aujas, L.  1931.  Les Sereres du Senegal. Bull. Com. Et. Hist. Scient. AFr. Occ. Franc. 14: 293-333.
Bourgeau, J.  1933.  Notes sur la coutume des Sereres du Sine et du Saloum. Bull. Com. Et. Hist. Scient. AFr. Occ. 16: 1-65.
Dulphy, M.  1939.  Coutume serere de la Petite-Cote. Publ. Com. Et. Hist. Scient. Afr. Occ. Franc., ser. A, 8: 237-321.
Fayet, J. C.  1939.  Coutumes des Sereres N'Doute. Publ. 
Com. Et. Hist. Scient. AFr. Occ. Franc., ser. A, 8: 195-212.
"
Ag23,Kasonke,Kasonke,NA,1910,"Monteil, C.  1915.  Les Khassonke.  Paris."
Ag24,Koranko,Koranko,NA,1910,"Chevalier, A. 1909.  La region des sources du Niger. Geographie 19: 337-352.
Kamara, K., and D. B. Drummond.  1930.  Marriage Customs Amongst the Kurankos. Sierra Leone Stud. 16: 57-66.
Thomas, N. W.  1916.  Anthropological Report on Sierra Leone, V.1. London.
"
Ag25,Soninke,Soninke,Sarakole,1900,"Berenger-Feraud, L. J. B.  1878.  Etude sur les Soninkes. Rev. Anth., ser. 2, 1: 586-607.
Boyer, G.  1953.  Les Diawara. Mem. Inst. Franc. Af. Noire 29: 1-122.
Daniel, F.  1910.  Etude sur les Soninkes ou Sarakoles.  
          Anthropos 5: 27-49.
        Nicole.  1903.  Die Diakite-Sarrakolesen.  
          Rechtsverhaltnisse von eingeborenen Volkern in Afrika 
          und Ozeanien, ed. S. R. Steinmetz, pp. 93-138.  Berlin.
        Saint-Pere, J. H.  1925.  Les Sarokolle du Guinimakha.  
          Paris.
"
Ag26,Susu,Susu,Soso,1930,"Anonymous.  1939.  Coutume soussou. Publ. Com. Et. Hist. Scient. AFr. Occ. Franc., ser. A, 10: 575-610.
Aubert, M.  1936.  Laws and Customs of the Susus. Sierra Leone Stud. 2: 21-44.
Thomas, N. W.  1916.  Anthropological Report on Sierra Leone, V.1.  London.
"
Ag27,Diula,Diula,Dyoura,1910,"Tauxier, L.  1912.  Le noir du Soudan.  Paris.
Tauxier, L.  1921.  Le noir de Bondoukou.  Paris.
"
Ag28,Nono,Nono,NA,1930,"Monteil, C.  1932. Djenne. Paris."
Ag29,Samo,Samo,Samako,1910,"Tauxier, L.  1917.  Le noir du Yatenga.  Paris."
Ag3,Dogon,Dogon,"Dagom, Habbe, Kado, Tombo",1930,"Paulme, D.  1940.  Organisation sociale des Dogon.  Paris. Marti, M. P.  1957.  Les Dogon.  Paris.
Dieterlen, G.  1956.  Parente et mariage chez les Dogon. Africa 26:  107-148.
Arnaud, R.  1921.  Notes sur les montagnards Habe.  Rev. Ethnog. Trad. Pop. 2:  241-318.
Griaule, Marcel, and Germaine Dieterlen.  1954.  The Dogon.  In C. Daryll Forde, ed., African worlds:  studies in the cosmological ideas and social values of African 
peoples.  London, Oxford University Press.
"
Ag30,Bobo,Bobo,NA,1910,"Cremer, J.  1924-27.  Les Bobo.  2V.  Paris.
Guebhard, P.  1911.  Notes contributives a l'etude de la religion, des moeurs et des coutumes des Bobo. Rev. Ethnog. Sociol. 2: 125-145.
Tauxier, L.  1912.  Le noir du Soudan.  Paris.
"
Ag31,Minianka,Minianka,NA,1910,"Cheron, G.  1913.  Les Minianka. Rev. Ethnog. Sociol. 4: 165-186.
Holas, B.  1957.  Les Senoufo (y compris les Minianka). Paris.
"
Ag32,Senufo,Senufo,"Sene, Siena",1900,"Delafosse, M. 1908-09.  Le peuple Siena ou Senoufo. Rev. et. Ethnog. Sociol. 1: 17-32, 79-92, 151-159, 242-275, 448-457, 483-486; 2: 1-21.
Holas, B.  1957.  Les Senoufo.  Paris.
Vendeix, M. J.  1935.  Nouvel essai de monographie du pays Senufo. Bull. Com. Et. Hist. Scient. Afr. Occ. Franc. 17: 578-652.
"
Ag33,Dian,Dian,Dya,1920,"Labouret, H.  1931.  Les tribus du Rameau Lobi. Trav. Mem. Inst. Ethnol. 15: 1-510.
"
Ag34,Dorosie,Dorosie,Dorho,1930,"Labouret, H.  1931.  Les tribus du Rameau Lobi. Trav. em. Inst. Ethnol. 15: 1-510.
Tauxier, L.  1931.  Les Dorhosie et Dorhosie-Fingg. Journ. Soc. Africanistes 1: 61-110.

"
Ag35,Kulango,Kulango,Parkhalla,1910,"Tauxier, L.  1921.  Le noir de Bondoukou.  Paris."
Ag36,Lowiili,Lowiili,NA,1950,"Goody, J. R.  1956.  The Social Organization of the LoWiili. Colon. Res. St. 19: 1-119.
Goody, J. R.  1958.  The Fission of Domestic Groups Among the Lo Dagaba.  Cambridge.  Pap. Soc. Anth. 1: 53-91.
"
Ag37,Awuna,Awuna,"Atyulo, Frafra, Kassonfra, Yulu",1910,"Rattray, R. S.  1932.  Tribes of the Ashanti Hinterland. 2V.  Oxford. 
Tauxier, L.  1912.  Le noir du Soudan.  Paris.
"
Ag38,Builsa,Builsa,"Bura, Kanjaga",1910,"Rattray, R. S.  1932.  The Tribes of the Ashanti Hinterland.  2V.  Oxford.
Tauxier, L.  1912.  Le noir du Soudan.  Paris.
"
Ag39,Dagari,Dagari,Dagaba,1910,"Labouret, H. 1920.  Mariage et polyandrie parmi les Dagari et les Oule.  Rev. Ethnog. Trad. Pop. 1: 267-283.
Rattray, R. S.  1932.  The Tribes of the Ashanti Hinterland.  2V.  Oxford.
Tauxier, L.  1912.  Le noir du Soudan.  Paris.
"
Ag4,Tallensi,Tallensi,NA,1930,"1. Principal Authority(ies)
Fortes, M. 1937. Communal Fishing and Fishing Magic in the Northern Territories of the Gold Coast. Journal of the Royal Anthropological Institute 67: 131-142.
Fortes, M., and S. L. Fortes. 1936. Food in the Domestic Economy of the Tallensi. Africa 9: 237-276.
Fortes, M. 1938. Social and Psychological Aspects of Education in Taleland. Supplement to Africa 9 No. 4.
Fortes, M. 1975. Tallensi Ritual Festivals and the Ancestors. Cambridge Anthropology 2(2): 3-31.
Fortes, M. 1945 (new ed. 1967). The Dynamics of Clanship Among the Tallensi. London.
Fortes, M. 1940. The Political System of the Tallensi. African Political Systems, ed. M. Fortes and E. E. Evans-Pritchard, pp. 239-271. London.
Fortes, M. 1949. The Web of Kinship Among the Tallensi. London.
2. Other Dependable Primary Sources
Lynn, C. W. 1937. Agriculture in North Mamprusi. Bulletins of the Gold Coast Department of Agriculture 34: 1-93.
Rattray, R. S. 1932. Tribes of the Ashanti Hinterland. Oxford."
Ag40,Isala,Isala,"Debe, Gelebagu, Hisala, Pasala",1910,"Rattray, R. S.  1932.  The Tribes of the Ashanti Hinterland.  2V.  Oxford.
Tauxier, L.  1912.  Le noir du Soudan.  Paris.
"
Ag41,Kusasi,Kusasi,Kusal,1920,"Manoukian, M.  1952.  Tribes of the Northern Territories of the Gold Coast.  London.
Rattray, R. S.  1932.  The Tribes of the AShanti Hinterland.  2V.  Oxford.
"
Ag42,Nunuma,Nunuma,Gurunsi,1910,"Tauxier, L.  1912.  Le noir du Soudan.  Paris.
Tauxier, L.  1924.  Nouvelles notes sur le Mossi et le Gourounsi. Paris.
"
Ag43,Vagala,Vagala,Siti,1920,"Rattray, R. S.  1932.  The Tribes of the Ashanti Hinterland.  2V.  Oxford.
"
Ag44,Dagomba,Dagomba,Dagbamba,1910,"Duncan-Johnstone, A., and H. A. Blair.  1932.  Enquiry into the Constitution and Organisation of the Dagbon Kingdom.  Accra.
Fisch, R.  1913.  Die Dagbamba.  Baessler-Arch. 3: 132-164.
Rattray, R. S.  1932.  Tribes of the Ashanti Hinterland. 2V.  Oxford.
"
Ag45,Gurma,Gurma,Gourmantche,1930,"Castinel, J.  1945.  Le mariage et la mort dans la region du Yanga. Bull. Inst. Franc. AFr. Noire 7: 148-155.
Menjaud, H.  1932.  Documents ethnographiques sur le Gourma.  Journ. Soc. Africanistes 2: 35-47.
Cartry, M.  1966.  Clans, lgnages et groupements familiaux chez les Gourmantche.  L'Homme 6: ii, 53-81.
"
Ag46,Manprusi,Manprusi,Mampelle,1920,"Manoukian, M.  1952.  Tribes of the Northern Territories of the Gold Coast.  London. 
Rattray, R. S.  1932.  Tribes of the Ashanti-Hinterland. 2V.  Oxford.
"
Ag47,Mossi Ouagadou,Mossi Ouagadou,Mossi,1900,"Dim Delobosom, A. A.  1933.  L'empire Mogho-Daba: Coutumes des Mossi de la Haute-Volta.  Et. Sociol. Ethnol. Jurid. 11: 1-308.
Mangin, E.  1921.  Les Mossi.  Paris.
Marc, L. A.  1909.  Le pays Mossi.  Paris.
Skinner, E. P.  1964.  The Mossi of the Upper Volta. Stanford.
Tauxier, L.  1912.  Le noir du Soudan.  Paris.
Elliot P. Skinner, ""Christianity and Islam among the Mossi, "" American Anthropologist 60, 1958: 1102-19.
"
Ag48,Basari,Basari,NA,1890,"Forelich, J. C., P. Alexandre, and R. Cornevin.  1963.  Les populations du Nord-Togo.  Paris.
Klose, H.  1899.  Togo unter deutscher Flagge.  Berlin.
Klose, H.  1903.  Das Bassarivolk.  Globus 83: 309-314, 341-345.
Zech.  1899.  Vermischte Notizen uber Togo und das Togohinterland. Mitt. Deutsch.  Schutzgeb.  11: 89-161.
"
Ag49,Kabre,Kabre,"Bekaburum, Kabure",1930,"Froelich, J. C.  1949.  Generalites sur les Kabre.  Bull. Inst. Franc. AFr. Noire 11: 77-105.
Froelich, J. C., P. Alexandre, and R. Cornevin.  1963. Les populations du Nord-Togo.  Paris.
Puig, F.  1934.  Etude sur les coutumes des Cabrais. Toulouse.
"
Ag5,Birifor,Birifor,Birifon,1930,"Rattray, R. S.  1932.  The Tribes of the Ashanti Hinterland.  2v.  Oxford.
Labouret, H.  1931.  Les tribus du rameau Lobi.  Trav. Mem. Inst. Ethn. 15: 1-510.
Goody, J. R.  1956.  The Social Organisation of the LoWiili.  Colon. Res. Studies 19: 1-119.
"
Ag50,Moba,Moba,"Bmoba, Moab",1910,"Asmis, G.  1912.  Die Stammersrechte des Bezirkes Sansane-Mangu.  Zeits.  Vergl. Rechtsw. 27: 71-128.
Froelich, J. C. P. Alexandre, and R. Cornevin.  1963.  Les populations du Nord-Togo.  Paris.
"
Ag51,Somba,Somba,"Betammadibe, Tamprusi",1940,"Mercier, P.  1950.  Le consentement au mariage et son evolution chez les Betam-maribe.  AFrica 20: 219-227.
Mercier, P.  1953.  L'habitat et l'occupation de la terre chez les ""Somba.""  Bull. Inst. Franc. Afr. Noire 15: 798-817.
"
Ag52,Tem,Tem,"Chancho, Kotokoli",1950,"Froelich, J. C., P. Alexandre, and R. Cornevin.  1963.  Les populations du Nord-Togo.  Paris.
"
Ag53,Bisa,Bisa,Busanse,1960,"Bernard, J.  1966.  Les Bisa du cercle de Garango.  Recherches Voltaiques 2: 1-247.
"
Ag54,Yalunka,Yalunka,Dialonke,1910,"McCulloch, M.  1950.  The Peoples of Sierra Leone Protectorate. London.
Thomas, N. W.  Anthropological Report on Sierra Leone.  London
Donald, L. H.  1968.  Personal communication.
Donald, L. H.  1968.  Changes in Yalunka Social Organization.  Ph.D. dissertation, University of Oregon.
"
Ag6,Futajalonke,Futajalonke,Foutadjallonke,1890,"Vieillard, G.  1939.  Notes sur les coutumes des Peuls au Fouta Djallon.  Publ. Com. Et. Hist. Scient. Afr. Occ. Franc., ser. A, 11: 1-127.                                                              Vieillard, G.  1940.  Notes sur les Peuls du Fouta-Djallon.  Bull. Inst. Franc. Afr. Noire 2: 85-210.
Durand, O.  1929.  Moeurs et instuttions d'une famille peule.  Bull. Com. Et. Hist. Scient. Afr. Occ. Franc. 12: 1-85.
"
Ag7,Bozo,Bozo,NA,1930,"Malzy, P.  1946.  Les Bozos du Niger et leurs modes de peche.  Bull. Inst. Franc. Afr. Noire 8: 100-132.
Ortoli, J.  1939.  Coutume Bozo.  Publ. Com. Et. Hist. Scient. Afr. Occ. Franc., ser. A, 9: 161-202.  (Reprinted from Bull. Rech. Soudan.  4: 152-172, 1936.)
"
Ag8,Coniagui,Coniagui,"Awunlen, Koniagi",1910,"Lestrange, M. de.  1950.  Les Coniagui et les Bassari. Paris.
Delacour, A.  1912-13.  Les Tenda.  Rev. Ethnog. Sociol. 3: 287-296, 307-381; 4: 31-53, 105-120, 140-153.
Techer, H.  1933.  Coutumes des Tendas.  Bull. Com. Et. Hist. Scient. Afr. Occ. Franc.  16: 639-666.
"
Ag9,Malinke,Malinke,"Mandingo, Wangara",1930,"Labouret, H.  1934.  Les Manding et leur langue.  Bull. Com. Et. Hist. Scient. Afr. Occ. Franc.  17: 1-270.
Sidibe, M.  1932.  Coutumier du cercle de Kita. Bull. Com. Et. Hist. Scient. Afr. Occ. Franc. 15: 72-177.
"
Ah1,Katab,Katab,NA,1930,"Smith, M. G.  1953.  Secondary Marriage in Northern Nigeria.  Africa 23:  298-323.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2v.  London.                                                                                                                                                                                                   Meek, C. K.  1928-29.  The Katab and Their Neighbors.  Journal of the African Society 27-28.
Gunn, H. D.  1956.  Pagan Peoples of the Central Area of Northern Nigeria.  London.
    
"
Ah10,Chawai,Chawai,Atsam,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
Gunn, H. D.  1953.  Peoples of the Plateau Area of Northern Nigeria.  London.
"
Ah11,Basa,Basa,Bassa,1950,"Gunn, H. D., and F. P. Conant.  1960.  Peoples of the Middle Niger Region.  London.
"
Ah12,Basakomo,Basakomo,Bassa-Komo,1920,"Byng-Hall, F. F. w.  1909.  Notes on the Bassa-Komo Tribe. Journ. AFr. Soc. 8: 13-20.
Clifford, M.  1944.  Notes on the Bassa-Komo Tribe.  Man 44: 107-116.
Gunn, H. D., and F. P. Conant.  1960  Peoples of the Middle Niger Region.  London.
"
Ah13,Dakakari,Dakakari,NA,1930,"Harris, P. G.  1938.  Notes on the Dakarkari Peoples. Journ. Roy. Anth. Inst. 68: 113-152.
"
Ah14,Kamuku,Kamuku,NA,1920,"Gunn, H. D., and F. P. Conant.  1960.  Peoples of the Middle Niger Region.  London.
"
Ah15,Reshe,Reshe,"Bareshe, Gungawa, Yauri",1920,"Gunn, H. D., and F. P. Conant.  1960.  Peoples of the Middle Niger REgion.  London.
Harris, P. G.  1930.  Notes on Yauri. Journ. Roy. Anth. Inst. 60: 283-324.
"
Ah16,Angas,Angas,NA,1900,"Fitzpatrick, J. F. J.  1910.  Some Notes on the Kwolla District and Its Tribes.  Journ. Afr. Soc. 10: 16-52, 213-221.
Mohr, R.  1958.  Zur sozialen Organisation der Angas. Anthropos 53: 457-472.
"
Ah17,Birom,Birom,"Burum, Kibo",1930,"Gunn, H. D.  1953.  Peoples of the Plateau Area of Northern Nigeria.  London.
"
Ah18,Borrom,Borrom,Burmawa,1930,"Best, O. H. Burmawa of Kanam.  Undated Ms."
Ah19,Kadara,Kadara,Adara,1930,"Gunn, H. D.  1953.  Peoples of the Plateau Area of Northern Nigeria.  London.
Smith, M. G.  The Social Structure of the Northern Kadara. Undated Ms.
Smith, M. G.  Secondary Marriage in Northern Nigeria.  Undated Ms.
"
Ah2,Jukun,Jukun,Juko,1920,"Meek, C. K.  1931.  A Sudanese Kingdom.  London."
Ah20,Kagoro,Kagoro,NA,1920,"Gunn, N. D.  1956.  Pagan Peoples of the Central Area of Northern Nigeria.  London.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
Smith, M. G.  1951.  Social Organization and Economy of Kagoro.  Ms.
Smith, M. G.  Secondary Marraige in Northern Nigeria.  Undated Ms.
Tremearne, A. J. N.  1912.  Notes on the Kagoro and Other Nigerian Headhunters.  Journ. Roy. Anth. Inst. 42: 136-199.
"
Ah21,Kurama,Kurama,NA,1920,"Gunn, H. D.  1956.  Pagan Peoples of the Central Area of Northern Nigeria.  London.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah22,Yergum,Yergum,NA,1900,"Ames, C. G.  1934.  Gazetteer of the Plateau Province. Jos.
Fitzpatrick, J. F. J.  1910.  Some Notes on the Kwolla District and Its Tribes. Journ. Afr. Soc. 10: 16-52, 213-221.
Temple, O.  Notes on the Tribes, Provinces, Emirates and States of the Northern Provinces of Nigeria.  2d edit. Lagos.
Meek, C. K.  1931.  A Sudanese Kingdom.  London.                                                                                                                                                                                                                                    Meek, C. K.  1931.  Tribal Studies in Northern Nigeria.  2V.  London.
"
Ah23,Jibu,Jibu,Jubu,1920,"Meek, C. K.  1931.  A Sudanese Kingdom. London.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V. London.
"
Ah24,Kentu,Kentu,NA,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah25,Tigon,Tigon,"Tukum, Thgon",1920,"Kaberry, P. M.  1952.  Women of the Grassfields.  London.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah26,Ndoro,Ndoro,NA,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah27,Zuande,Zuande,"Bitare, Yukutare",1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah28,Chamba,Chamba,Tsamba,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah29,Daka,Daka,Dekka,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah3,Tiv,Tiv,NA,1920,"1.Principal Authority(ies)
Bohannan, L. 1952. A Genealogical Charter. Africa 22: 301-315.
Bohannan, P., and L. Bohannan. 1969. A Source Notebook on Tiv Religion. 5v. New Haven.
Bohannan, P. 1954c. Circumcision among the Tiv. Man 54: 2-6.
Bohannan, P. 1953. Concepts of Time Among the Tiv of Nigeria. Southwestern Journal of Anthropology 9: 251-262.
Bohannan, P. 1957. Justice and Judgment among the Tiv. London.
Bohannan, L. 1957. Political Aspects of Tiv Social Organization. Tribes Without Rulers, ed. J. Middleton and D. Tait, pp. 33-66. London.
Bohannan, P. 1955. Some Principles of Exchange and Investment Among the Tiv. American Anthropologist 57: 60-70.
Bohannan, P. 1954b. The Migration and Expansion of the Tiv. Africa 24: 2-16.
Bohannan, L., and P. Bohannan. 1953. The Tiv of Central Nigeria. London.
Bohannan, P. 1965. The Tiv of Nigeria. Peoples of Africa. ed. J. L. Gibbs, Jr., pp. 279-317. New York.
Bohannan, P., and L. Bohannan. 1958. Three Source Notebooks in Tiv Ethnography. New Haven.
Bohannan, P., and L. Bohannan. 1968. Tiv Economy. Evanston.
Bohannan. P. 1954a. Tiv Farm and Settlement. London.
Bohannan, P., and L. Bohannan. 1957. Tiv Markets. New York Academy of Sciences, Transations, series 2: 613-621.
Bohannan, P. 1960. Tiv Trade and Markets. Ms. (see FF57=24).

"
Ah30,Longuda,Longuda,Nunguda,1920,"Meek, C. K.  1931.  Tribal Studies in NOrthern Nigeria. 2V.  London.
"
Ah31,Mumuye,Mumuye,NA,1910,"Haughton, T. H.  1912.  Mumuye Assessment Report.  Ms.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah32,Vere,Vere,Were,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah33,Yungur,Yungur,Binna,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
Temple, O.  1922.  Notes on the Tribes, Provinces, Emirates and States of the Northern Provinces of Nigeria.  2d edit.  Lagos.
"
Ah34,Bata,Bata,NA,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
      
"
Ah35,Bura,Bura,NA,1920,"Helser, A. D.  1926.  In Sunny Nigeria.  New York.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah36,Gude,Gude,Cheke,1920,"Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah37,Hona,Hona,NA,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah38,Kapsiki,Kapsiki,"Hiji, Hill Margi",1930,"Lembezat, B.  1950.  Kirdi, les populations paiennes du Nord-Cameroun Mem. Inst. Franc. AFr. Noire, Centre Cameroun, Serie Populations 3: 1-95.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamoua.  Paris.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2V.  London.
"
Ah39,Podokwo,Podokwo,Podogo,1950,"Lembezat, B.  1952.  Mukulehe.  Paris.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
"
Ah4,Mambila,Mambila,Torbi,1920,"Rehfisch, F.  1960.  The Dynamics of Multilinearity on the Mambila Plateau.  Africa 30: 246-261.
Meek, C. K.  1931.  Tribal Studies in Northern Nigeria.  2v.  London.
Percival, D. H.  1938.  The Mambila Area.  Unpublished ms.
"
Ah5,Margi,Margi,Marghi,1930,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria. 2v.  London.
Rowling, C. W.  1930.  Marghi District Assessment. Unpublished Ms.
"
Ah6,Gure,Gure,NA,1920,"Meek, C. K.  1931.  Tribal Studies in Northern Nigeria 2: 189-219.  London.
Dunn, H. d.  1956.  Pagan Peoples of the Central Area of Northern Nigeria.  London.
"
Ah7,Matakam,Matakam,NA,1940,"Hinderling, P.  1955.  Versuch einer Analyse der sozialen Struktur der Matakam.  AFrica 25: 405-426.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
Lavergne, G.  1949.  Un peuplade du Haut-Cameroun: Les Matakam.  Paris.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
"
Ah8,Wute,Wute,"Bafute, Bute, Mfute",1910,"Sieber, J.  1925.  Die Wute.  Berlin.
Thorbecke, F.  1916.  Anthropogeographie des Ost-Mbamland. Abh. Hamb. Kolonialinst.  36: 1-94.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.
"
Ah9,Anaguta,Anaguta,Naguta,1920,"Gunn, H. D.  1953.  Peoples of the Plateau Area of Northern Nigeria.  London.
Diamond, D.  1964.  Personal communication to A. Lomax.
"
Ai1,Banda,Banda,NA,1920,"Leynaud, E.  1954.  Parente et alliance chez les Bandas. Bull. Inst. Etudes Centrafricaines, n.s., 7-8:  109-159.
Daigre.  1932-32.  Les Bandas de l'Oubangui-Chari. Anthropos 26:  547-695; 27:  153-181.
"
Ai10,Otoro,Otoro,NA,1940,"1.Principal Authority(ies)
Nadel, S. F. 1947. The Nuba. London."
Ai11,Mangbetu,Mangbetu,Monbuttu,1900,"Hutereau, A.  1909.  Notes sur la vie familiale et juridique de quelques populations du Congo Belge.  Ann. Mus. Congo Belge, ser. 3, 1: ii,61-84.
Czekanowski, J.  1924.  Forschungen im Nil-Kongo-Zwischengebiet 2: 111-183.  Leipzig.  
Van Overbergh, C.  1909.  Les Mangbetu.  Bruxelles.
 
"
Ai12,Fali,Fali,NA,1950,"Foelich, J. C.  1956.  Le commandement et l'organisation sociale chez des Fali.  Et. Camerounaises 53-54; 20-50.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
Malzy, P.  1956.  Les Fali du Tingelin. Et. Camerounaises 51: 3-27.
"
Ai13,Laka,Laka,NA,1920,"Tessmann, G.  1929.  Die Mbaka-Limba, Mbum und Lakka. Zeits. Ethnol. 60: 305-352.
"
Ai14,Mbum,Mbum,NA,1920,"Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
Tessman, G.  1929.  Die Mbaka-Limba, Mbum und Lakka. Zeits. Ethnol. 60: 305-352.
"
Ai15,Mundang,Mundang,Moundan,1900,"Brussaux, E.  1907.  Notes sur les Moundans.  Bull. Soc. Anth. Paris, ser. 5, 8: 273-295.
Lembezat, B.  1916.  Les populations paiennes du Nord-Cameroun et de l'Adamauoa.  Paris.
Martin, R.  1947.  Note sur les Mundang de la region de Lere. Bull. Inst. Et. Centrafr. 2: 09-105.
"
Ai16,Namshi,Namshi,Doayo,1910,"Lembezat, B.  1916.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
Savini, M.  1937.  Notes sur les populations namchi. Bull. Soc. Et. Camerounaises 2: 17-48.
"
Ai17,Gisiga,Gisiga,Guissiga,1930,"Fourneau, J.  1938.  Une tribu paienne du Nord-Cameroun: Les Guissiga.  Journ. Soc. Africanistes 8: 163-195.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
"
Ai18,Kotoko,Kotoko,"Logone, Makari",1880,"Lebeuf, A. M. D.  1959.  Les populations du Tchad.  Paris."
Ai19,Musgu,Musgu,Muzuk,1910,"Hagen, G. von.  1912.  Einige Notizen uber die Musgu. Baessler-Arch.  2: 117-122.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
"
Ai2,Nyaro,Nyaro,NA,1940,"Nadel, S. F.  1950.  Dual Descent in the Nuba Hills. African Systems of Kinship and Marriage, ed. Radcliffe-Brown and Forde, pp. 333-359.  London.
"
Ai20,Tuburi,Tuburi,Toupouri,1910,"Lamouroux, R.  1913.  La region du Toubouri. Anthropologie 24: 679-692.
Lembezat, B.  1961.  Les populations paiennes du Nord-Cameroun et de l'Adamaoua.  Paris.
"
