ID,Name,Orig.latitude,Orig. longitude,revised.latitude,revised.longitude,B501_SUBPOP,B501_TLPOP,B501_Area,B501_Density,B501_Gather,B501_Hunt,B501_Fish,B501_SUBSP,B501_GRPPAT,B501_GROUP1,B501_GROUP2,B501_GROUP3,B501_NOMOV,B501_DISMOV,B501_VEGNU,B501_SOIL,B603_NoDataPts,B603_MHt,B603_FHt,B603_HtQual,B603_MWt,B603_FWt,B603_WtQual,B603_References,B801_NoDataPts,B801_Grp1_Disp,B801_Grp2_Agg,B801_PeriodicAgg,B801_References,B804_NoDataPts,B804_NoMovesYear,B804_DistMoved,B804_Ref,B807_NoDataPts,B807_PctPolygyny,B807_PctPolygynyQual,B807_MMarrAge,B807_FMarrAge,B807_References,B901_NoDataPts,B901_SYSTATE3,B901_MHSSET,B901_MHSET2,B901_FAMHOUS,B901_G2MHS,B901_G2MHSET2,B901_G2MHSET3,B901_G2BASORD,B901_PREVALUE,B901_PREDG2MH,B901_G1FAMSZ,B901_G2FAMSZ,B901_G1MHS,B901_POLYSCAL,B901_POLPOS,B901_CLASS,B901_PEROGAT,B901_MONEY,B901_OCCSPE,B901_COMMON,B901_COMSTFUN,B901_OWNERS
B62,Bambote,-6.64,28.26,-6.64,28.26,x,937.00,37.50,25.00,85.00,14.00,1.00,2,1,19.70,60.00,95.00,7.00,60.00,6,U,1,1452,NA,NA,NA,NA,NA,Skeat and Blagden 1906:573,1,19.7,60,95,"Terashima 1980:234, 235, 262",1,7,60,"Terashima 1980:241,261",1,4,NA,NA,NA,Terashima 1980:233,1,3,5,1,0.65,18.99,6,3,6,4.24,4.24,4.05,12.32,6.23,2,3,1,1,1,1,1,1,1
B63,Baka,2.39,15.31,2.39,15.31,x,3000.00,220.00,13.63,85.00,14.00,1.00,2,1,16.00,31.70,90.00,16.00,85.00,1,O,1,1526,1441,NA,49.5,NA,NA,Hiernaux et al. 1975:7; Vallois and,2,16.75,32.175,97,Cavalli-Sforza 1986c:32-33; Vallois and Marquer 1976:113,1,16,85,Vallois and Marquer 1976:112-19,1,16,NA,18,16,Cavalli-Sforza 1986a:37,1,3,5,1,0.79,9.14,5,3,4,3.76,3.76,3.64,7.22,3.54,2,3,1,1,1,1,1,1,1
B64,Efe,2.70,27.64,2.70,27.64,x,750.00,47.00,15.96,88.20,11.00,0.80,2,1,17.80,33.00,100.00,12.00,65.00,3,O,1,1453,1363,NA,43.1,37.9,NA,Bailey and Peacock 1988:107,1,17.8,33,100,Bailey and Peacock 1988:99-100; Fisher and Strickland 1989:476,1,12,65,Bailey 1985:48-58; Peacock 1985:47-48,1,36,NA,18,15,Bailey 1988:59 Schebesta 1962a:244,1,3,5,1,0,10.12,6,3,4,3.78,3.78,NA,NA,5.46,2,3,1,1,1,1,1,1,1
B65,Mbuti,1.54,28.61,1.54,28.61,x,1496.00,34.00,44.00,90.00,9.00,1.00,2,2,30.20,104.00,252.00,13.00,64.00,3,O,1,1440,1370,NA,39.8,NA,NA,Hiernaux et al. 1975:7; Cavalli-Sforza 1986c:392; Roberts 1953: 557,2,30.45,82,169.5,"Tanno 1976:107, 108, 130; Turnbull 1965:97, 98",3,14,91.33333333,"Harako 1976:44,114-17; Tanno 1976:123; Ichikawa 1978:173-75",1,11,NA,17,14.5,Harako 1976:46-47; Putnam 1948:336,1,3,5,1,1.05,23.21,6,3,8,4.98,4.98,7.06,24.3,6.74,2,3,1,1,1,1,1,1,1
B66,Mikea,-22.32,43.81,-22.32,43.81,x,300.00,68.80,4.36,85.00,15.00,0.00,2,1,0.00,40.00,0.00,0.00,0.00,19,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,40,NA,Kelly and Poyer 1993:1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,3,1,1,1,1,4,1,1
B67,Hukwe,-16.93,24.32,-16.93,24.32,n,124.00,43.00,2.90,60.00,35.00,5.00,2,1,0.00,23.00,70.00,8.00,125.00,6,A3,1,1574,1494,NA,NA,NA,NA,Clark 1951:60,1,NA,23,70,Clark 1951:65,1,8,125,LRB estimate,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,3,1,1,3,1,3,1,1
B68,Hai//om,-18.65,16.12,-18.65,16.12,x,2000.00,520.00,3.84,55.00,45.00,0.00,2,1,0.00,60.00,166.00,0.00,0.00,19,A3,2,1546,1494,NA,NA,NA,NA,Werner 1906:241; Tobias 1962:802-3,1,NA,60,166,Fourie 1927:51,NA,NA,NA,NA,1,NA,NA,20,15,Fourie 1928:92,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,3,1,1
B69,Hadza,-3.82,35.32,-3.82,35.32,n,600.00,25.00,24.00,60.00,40.00,0.00,2,1,16.50,42.00,0.00,7.00,80.00,6,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,16.5,42,NA,Blurton-Jones et al. 1992:164; Hawkes et al. 1989:344; Woodburn 1968:104,1,7,80,Lee and Devore 1968a:194,1,3,NA,20,16,Bleek 1931:427; O'Connell pers. comm. 1982,1,4,5,1,0.81,11.57,5,3,5,3.94,3.94,3.67,9.33,4.55,1,3,1,1,1,1,4,1,1
B70,Dorobo,0.00,36.00,0.00,36.00,x,151.00,3.70,40.81,45.00,55.00,0.00,1,2,17.00,46.00,75.00,0.10,0.00,7,U,1,1694,1587,NA,NA,NA,NA,Wayland 1931:217,1,17,46,75,Huntingford 1951:8; 1954:128,1,0.1,0.1,"Huntingford 1929:340,1955:623-34",1,0.5,NA,23,15,Blackburn 1971:266,1,2,5,1,0.99,9.07,4,2,5,6.19,6.19,3.31,8.95,3.35,2,3,1,1,1,1,5,2,1
B71,Sekele,-16.42,19.53,-16.42,19.53,x,3500.00,2300.00,1.52,65.00,35.00,0.00,2,1,12.00,31.00,65.00,0.00,0.00,2,A3,2,1599,1495.5,NA,NA,NA,NA,"Bleek 1929:106; De Castro and Almeida 1956, 1957",1,12,31,65,Bleek 1929:109; De Castro and Alemeida 1956:9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,1,NA,19.6,7,3,4,3.75,3.75,NA,NA,4.8,1,3,1,1,1,1,2,1,1
B72,!Kung,-20.00,21.18,-20.00,21.18,n,726.00,110.00,6.60,67.00,33.00,0.00,2,1,10.40,24.30,87.00,5.50,75.00,6,A3,3,1561,1477.666667,NA,50.4,42.5,NA,Howell 1979:258-59; Bleek 1929:106; Tobias 1962:802-3; Kaufmann 1910:135,2,10.7,23.65,87.5,Marshall 1960:328; Lee 1972a:330,2,8.25,187.5,"Hitchcock and Ebert 1989:55; Lee 1972a:330,1979:168,182-204",3,6,NA,20.5,15,"Marshall 1959:336, 350; Howell 1979:243-44; Lee 1972a:358; Kaufmann 1910:156; Schapera 1930:104",1,4,5,1,0.74,9.68,6,3,3,3.64,3.64,3.09,7.21,4.14,1,1,1,1,1,1,4,1,1
B73,Nharo,-21.64,21.61,-21.64,21.61,x,7500.00,600.00,0.50,67.00,32.50,0.00,2,1,6.00,20.20,70.00,2.00,31.00,6,D,2,1581.5,1497,NA,NA,NA,NA,Tobias 1962:802-3,1,6,20,70,Guenther 1986:186; Schapera 1930:78,1,2,31,Hitchcock and Ebert 1989:55,1,4,<,19,17,Bleek 1928:33-34; Schapera 1930:104,1,2,2,3,NA,5.84,1,1,2,6.06,4.31,NA,NA,NA,2,1,1,1,1,1,3,1,1
B74,G/wi,-22.46,23.39,-22.46,23.39,n,528.00,180.00,2.93,55.00,45.00,0.00,2,1,5.60,36.00,85.00,11.50,270.00,6,D,1,1578,1520,NA,NA,NA,NA,Tobias 1962:802-3,1,5.6,36,85,"Silberbauer 1972:296, 1981a:195-98",1,11.5,270,"Silberbauer 1972:295-97; 1981:193, 196, 246; 1981b:460",1,12,NA,15,8,"Silberbauer 1981:149, 155",1,4,5,1,NA,7.91,4,2,4,5.53,5.53,NA,NA,1.23,2,1,1,1,1,1,3,1,1
B75,Kua,-22.88,24.41,-22.88,24.41,x,954.00,150.00,6.36,55.00,45.00,0.00,2,1,8.00,20.80,42.00,9.00,215.00,6,D,1,1610,1523,NA,NA,54.43,NA,Tobias 1962:802-3; Wyndham and Morrison 1958:221,1,8,21,42,Kent and Vierich 1989,1,9,215,Hitchcock and Ebert 1989:55,1,12,NA,NA,NA,Vierich 1981:146,1,4,2,3,NA,4.58,1,1,2,6.18,4.43,NA,NA,1.76,2,3,1,1,1,1,3,1,1
B76,!Ko,-23.86,22.20,-23.86,22.20,n,122.00,118.00,1.03,55.00,45.00,0.00,2,1,13.00,54.00,111.00,12.00,310.00,19,D,NA,NA,NA,NA,NA,NA,NA,NA,1,13,54,111,Eibl-Eibelsfeldt 1972:32-33,1,12,310,Hitchcock and Ebert 1989:55,1,2,NA,NA,NA,Eibl-Eibelsfeldt 1948:29-34,1,4,5,1,0.77,14.4,6,3,6,4.14,4.14,2.65,11.02,3.47,2,1,1,1,1,1,3,1,1
B77,/Auni-Khomani,-27.37,19.82,-27.37,19.82,n,364.00,570.00,0.64,52.00,48.00,0.00,2,1,9.00,21.00,77.00,13.00,352.00,19,D,1,1558,1460,NA,NA,NA,NA,Dart 1937b:184,1,9,21,77,Steyn 1984:118; Dart 1937b:160-65,1,13,352,Informant from Molopo River,1,3,NA,18,14,Dart 1937b,1,4,2,3,NA,4.67,1,1,2,6.22,4.48,NA,NA,2,2,1,1,1,1,1,3,1,1
B78,//Xegwi,-26.28,30.23,-26.28,30.23,x,280.00,78.40,3.57,40.00,50.00,10.00,2,1,0.00,0.00,100.00,0.00,0.00,7,A2,1,1489,1347,NA,NA,NA,NA,Toerien 1958:122-23,1,NA,NA,100,Potgieter 1955:8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,2,1,1
B79,/Xam,-31.47,19.77,-31.47,19.77,n,300.00,123.50,2.43,70.00,30.00,0.00,2,1,8.00,24.00,0.00,0.00,0.00,23,D,NA,NA,NA,NA,NA,NA,NA,NA,1,8,24,NA,"Bleek 1924:viii, ix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,3,1,1,1,1,4,1,1
B82,Kaurareg,-10.77,142.12,-10.77,142.12,x,140.00,4.00,35.00,35.00,0.00,65.00,3,1,17.50,50.00,116.00,4.00,32.00,2,U,NA,NA,NA,NA,NA,NA,NA,NA,1,17.5,50,116,Moore 1979:39,1,4,32,Moore 1979:238,1,NA,NA,23,21,Moore 1979:146,1,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,3,1,1,1,2,1,1,2
B83,Larikia,-12.60,130.78,-12.60,130.78,n,1560.00,39.00,40.00,20.00,15.00,65.00,3,1,0.00,0.00,0.00,7.00,60.00,2,A3,1,1696,NA,NA,NA,55.1,NA,Howells 1937:16,NA,NA,NA,NA,NA,1,7,60,Parkhouse 1895:639-41,1,NA,NA,NA,13,Basedow 1907:14,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,5,1,1
B84,Gunwinggu,-12.43,134.12,-12.43,134.12,x,1302.00,73.00,17.84,40.00,35.00,25.00,2,1,18.50,44.00,128.00,14.00,140.00,2,A3,1,NA,NA,NA,55.3,46.1,NA,Altman 1987:34,1,18.5,44,128,Altman 1987:15-27; Berndt and Berndt 1970:3-14,1,14,140,Altman 1987:22-27,1,45,NA,33,14,Berndt and Berndt 1970:95; Peterson and Long 1986:137,1,4,5,1,0.61,11.17,5,3,5,3.97,3.97,2.88,6.85,4.7,2,1,1,1,1,1,5,1,1
B85,Mirrngadja,-12.31,135.20,-12.31,135.20,x,77.00,2.00,38.50,40.00,10.00,50.00,3,1,16.00,34.00,77.00,6.00,14.00,2,A3,1,1706,NA,NA,NA,NA,NA,Macintosh 1952:213,1,16,34,77,Peterson 1973:185; 1970:11; pers. comm. 1992; Peterson and Long 1986:40,1,6,14,"Peterson 1973:185, 1970:11",1,45,NA,NA,NA,Long 1970:303,1,4,2,3,0.91,6.14,2,1,4,8.77,7.18,2.62,5.57,2.89,2,1,1,1,1,1,5,1,1
B86,Anbarra,-12.20,134.73,-12.20,134.73,n,35.00,0.80,43.70,35.00,10.00,55.00,3,1,10.00,35.00,250.00,3.00,17.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,10,35,250,Meehan 1982:31-41,1,3,17,Meehan 1982:26-41,1,42,NA,25,13.5,Peterson and Long 1986:137,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,1,1,1,1,5,1,1
B87,Gidjingali,-12.18,134.40,-12.18,134.40,x,400.00,5.50,72.70,35.00,10.00,55.00,3,2,16.00,34.00,80.00,0.10,0.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,16,34,80,Peterson 1972:26; Peterson and Long 1986:40,1,0.1,NA,Hiatt 196531-32,2,37.1,NA,25,13,"Hiatt 1965:36, 77; Long 1970:302",1,4,2,3,0.86,5.72,2,1,4,8.77,7.18,2.32,4.93,2.69,1,1,1,1,1,1,5,1,1
B88,Murngin,-12.93,135.84,-12.93,135.84,n,588.00,50.00,11.76,55.00,35.00,10.00,2,1,18.00,36.00,290.00,15.00,160.00,2,A3,1,1665,1580,NA,59.2,43.5,NA,Howells 1937:16; Peterson 1976:269,1,18,36,290,Thomson 1949:16; Warner 1958:127-28,1,15,180,Tindale pers. comm. 1967,1,43,NA,29,11,Long 1970:303; Peterson and Long 1986:154,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,1,1,1,1,3,1,3
B89,Jeidji,-15.55,128.19,-15.55,128.19,n,442.00,26.00,17.00,60.00,15.00,25.00,2,1,17.00,32.00,125.00,14.00,218.00,19,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,17,32,125,Kaberry 1935:428,1,14,218,LRB estimate,1,NA,NA,26,14.5,Kaberry 1939:420,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,1,1,1,1,3,1,1
B90,Wikmunkan,-13.47,142.00,-13.47,142.00,n,1602.00,83.00,19.31,50.00,30.00,20.00,2,1,8.00,45.00,150.00,14.00,238.00,2,U,NA,NA,NA,NA,NA,NA,NA,NA,1,8,45,150,Wills 1980:85 (LRB estimates from photos),1,14,238,Thomson 1939:211-20,1,18,NA,NA,NA,Peterson and Long 1986:137,1,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,2,1,1,1,1,1,3,1,1
B91,Kakadu,-13.13,132.95,-13.13,132.95,n,528.00,60.00,8.80,55.00,20.00,25.00,2,1,9.00,32.00,200.00,12.00,150.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,9,32,200,Leichardt 1847:507; McCarthy and MacArthur 1960:90-96,1,12,150,Chaloupka 1981:163-71,1,40,NA,NA,NA,Spencer 1966:49,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,1,2
B92,Nunggubuyu,-13.76,135.98,-13.76,135.98,n,1610.00,70.00,23.00,30.00,10.00,60.00,3,1,17.00,30.00,225.00,10.00,85.00,2,A3,1,1669,NA,NA,NA,55.8,NA,Howells 1937:16,1,17,30,225,Biernoff 1979:12; MacArthur 1960:95; Thompson 1949:4,1,10,85,Biemoff 1979:156,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,1,1,1,1,5,1,3
B93,Yintjingga,-14.00,143.50,-14.00,143.50,n,217.00,7.00,31.00,20.00,5.00,75.00,3,1,15.00,0.00,0.00,6.00,25.00,2,U,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,Thomson 1934:241,1,6,25,Thomson 1934:241,1,NA,NA,22,9,Thomson 1933:509,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,5,1,3
B94,Yir-yoront,-15.00,142.17,-15.00,142.17,n,104.00,13.00,8.00,65.00,25.00,10.00,2,1,14.30,30.00,0.00,13.00,145.00,2,U,NA,NA,NA,NA,NA,NA,NA,NA,1,14,30,NA,"Peterson and Long 1986:88-89, 95-99; Sharp 1934a:425",1,13,145,LRB estimate,1,43,NA,30,13,Peterson and Long 1986:95-99; Sharp 1940:490; Sharp 1934a:427,1,4,5,1,0.88,8.13,5,3,3,3.73,3.73,3.4,7.14,3.88,1,1,1,1,1,1,3,1,1
B95,Tiwi,-11.59,130.87,-11.59,130.87,n,2662.00,71.00,37.50,40.00,25.00,35.00,2,1,18.00,32.00,0.00,10.00,75.00,2,A3,1,1668,NA,NA,NA,56.9,NA,Howells 1937:16,1,18,32,NA,"Hart and Piling 1960:35, 36, 65, 66",1,10,75,"Hart and Pilling 1960:35,36,66",1,53.8,NA,35,9,"Goodale 1962:455; Hart 1970:296; Hart and Piling 1960:16, 36, 66; Peterson and Long 1986:137",1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,2.43,4.32,NA,2,1,1,1,1,1,3,1,3
B96,Kuku (Yalanji),-15.92,145.32,-15.92,145.32,n,650.00,13.00,50.00,35.00,10.00,55.00,3,1,14.30,0.00,250.00,6.00,18.00,4,U,NA,NA,NA,NA,NA,NA,NA,NA,1,14.3,NA,250,"Anderson and Robins 1988: 187, 191-92",1,6,18,Anderson and Robins 1988:184-87,1,NA,NA,NA,13,Roth 1909:5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,NA,NA,1,1,1,1,1,1,3,1,1
B97,Groote Eylandt,-14.00,136.62,-14.00,136.62,n,595.00,26.00,22.90,30.00,10.00,60.00,3,1,10.00,32.00,0.00,8.00,60.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,10,32,NA,Peterson and Long 1986:78-79,1,8,60,"Tindale, pers. comm. 1967",1,48,NA,33,9,"Rose 1960:12, 69, 248",1,4,5,1,0.78,6.88,4,2,4,5.27,5.27,1.67,5.33,2.15,2,1,1,1,1,1,3,1,1
B98,Walmbaria,-14.34,144.22,-14.34,144.22,n,75.00,1.30,58.00,25.00,5.00,70.00,3,2,0.00,35.00,60.00,4.00,30.00,2,U,1,1650,1550,NA,NA,NA,NA,Hale and Tindale 1933:71,1,NA,35,60,Hale and Tindale 1933:77-78,1,4,30,"Hale and Tindale 1933:64,77",1,NA,NA,NA,13,Roth 1909:4,1,4,5,1,NA,9.43,5,3,4,3.82,3.82,NA,NA,NA,2,1,1,1,1,1,5,1,3
B99,Mulluk,-13.58,130.58,-13.58,130.58,n,445.00,10.00,45.00,30.00,10.00,60.00,3,1,18.00,30.00,150.00,7.00,40.00,2,A3,1,1708,NA,NA,NA,NA,NA,Stanner 1933:386,1,18,30,150,Stanner 1933:393 (estimate),1,7,40,LRB estimate,1,40,NA,28,13,Stainer 1933:391,1,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,2,1,1,1,4,1,1
B100,Worora,-15.32,124.72,-15.32,124.72,n,1114.00,104.00,11.00,60.00,30.00,10.00,2,1,18.00,35.00,150.00,13.00,150.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,18,35,150,Blundell 1980:106-7; Love 1936:93,1,13,150,Blundell 1975:127-29.,1,35,NA,31,11,"Love 1917:21, 1936:36",1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,1,1,1,1,5,1,1
B101,Lungga,-16.91,127.83,-16.91,127.83,n,562.00,125.00,4.50,60.00,35.00,5.00,2,1,0.00,0.00,0.00,0.00,0.00,19,A3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,12.6,NA,23,13,Kaberry 1939:113-15,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1
B102,Lardil,-16.30,139.30,-16.30,139.30,n,120.00,4.00,30.00,35.00,5.00,60.00,3,1,0.00,45.00,0.00,4.00,35.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,45,NA,Memmott 1983a:367,1,4,35,Memmott 1983a:121-26,1,33,NA,NA,NA,Memmott 1983b:53-54,1,4,5,1,0.55,12.97,6,3,5,3.99,3.99,NA,7.11,NA,2,1,1,1,1,1,3,1,2
B103,Kaiadilt,-16.94,139.28,-16.94,139.28,n,165.00,2.50,66.00,13.00,7.00,80.00,3,1,15.40,29.00,85.00,7.00,35.00,2,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,15.4,29,85,Tindale 1962a:269,1,7,35,LRB estimate,1,52,NA,30,14,Tindale 1962b:319-21,1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,3.34,6.29,NA,2,1,1,1,1,1,3,1,2
B104,Karadjeri,-18.92,121.21,-19.17,121.46,n,536.00,143.00,3.75,55.00,40.00,5.00,2,1,0.00,0.00,0.00,0.00,0.00,19,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1
B105,Mamu,-17.64,145.84,-17.64,145.84,x,585.00,13.00,45.00,68.00,7.00,25.00,2,1,20.00,45.00,285.00,12.00,70.00,1,U,1,1578,NA,NA,NA,50.5,NA,Birdsell 1967:112,1,20,45,285,Harris 1978:128,1,12,70,Harris 1982:378-82,1,NA,NA,NA,10,Roth 1909:12,1,4,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,3,1,1,1,1,1,4,1,2
B106,Kariera,-20.88,118.27,-20.88,118.27,n,1111.00,117.00,9.50,55.00,10.00,35.00,2,1,11.00,31.00,0.00,8.00,130.00,19,H,NA,NA,NA,NA,NA,NA,NA,NA,1,11,31,NA,Radcliffe-Brown 1912:146,1,8,130,Radcliffe-Brown 1912:144-47,1,36,NA,NA,13,Clement 1903:13; Radcliffe-Brown 1912:158,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1
B107,Warunggu,-18.41,145.61,-18.41,145.61,n,1562.00,96.00,16.28,24.00,42.00,34.00,1,1,9.00,25.00,250.00,0.00,0.00,2,U,NA,NA,NA,NA,NA,NA,NA,NA,1,19,25,250,Brayshaw 1990:31; Lumholtz 1889:194,NA,NA,NA,NA,1,45,NA,29,9.5,"Liunholtz 1889:179, 201",1,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,1,1,1,1,1,3,1,1
B108,Djaru,-19.16,130.00,-19.16,130.00,n,1345.00,338.00,3.98,65.00,30.00,5.00,2,1,16.00,50.00,0.00,13.00,350.00,19,D,NA,NA,NA,NA,NA,NA,NA,NA,1,16,50,NA,Nind 1831:22,NA,NA,NA,NA,1,7.4,NA,19,11,Kaberry 1939:114,1,4,NA,NA,NA,NA,NA,NA,5,NA,NA,2.4,7.51,NA,1,1,1,1,1,1,3,1,1
B109,Walbiri,-20.00,130.57,-20.00,130.57,n,1598.00,1378.00,1.16,70.00,30.00,0.00,2,1,9.00,42.00,200.00,14.00,380.00,19,D,1,1698,1571,NA,56.7,45.4,NA,Abbie 1957:236-38,1,9,42,200,"Meggitt 1962:47, 50, 56",1,14,380,Meggitt pers. comm. 1973,1,38,NA,24,11,Meggitt 1962:77-79,1,4,5,1,0.86,10.88,5,3,5,3.94,3.94,2,9.31,2.33,1,1,1,1,1,1,3,1,1
B110,Ngatjan,-17.36,145.56,-17.36,145.56,x,299.00,5.00,59.80,65.00,15.00,20.00,2,1,8.00,25.00,130.00,0.00,0.00,4,U,NA,NA,NA,NA,NA,NA,NA,NA,1,8,25,130,Peterson and Long 1986:116-17; Tonkinson 1978:53,1,15,416,LRB estimate,1,30,NA,24,13.5,Tonkinson 1978:67,1,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,2,1,1,1,1,1,4,1,2
B111,Mardudjara,-22.79,125.06,-22.79,125.06,n,169.00,226.00,0.75,70.00,30.00,0.00,2,1,8.00,25.00,180.00,15.00,416.00,24,D,NA,NA,NA,NA,NA,NA,NA,NA,1,16,32,250,Harris 1978:128,NA,NA,NA,NA,1,NA,NA,30,16,Harris 1978:128,1,4,2,3,0.79,6.07,2,1,3,7.00,5.31,1.54,4.81,1.94,1,1,1,1,1,1,3,1,1
B112,Ildawongga,-22.93,127.18,-22.93,127.18,n,354.00,787.00,0.45,80.00,20.00,0.00,2,1,11.50,0.00,0.00,15.00,380.00,24,D,NA,NA,NA,NA,NA,NA,NA,NA,1,11.5,NA,NA,"Peterson and Long 1986:112-15, 124",1,15,380,LRB estimate,1,41,NA,NA,NA,Peterson and Long 1986:112-15,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,1,1,1,1,1,1,3,1,1
B113,Pintubi,-22.86,129.44,-22.86,129.44,n,343.00,229.00,1.50,65.00,35.00,0.00,2,1,8.50,21.00,300.00,15.00,325.00,24,D,1,1671,NA,NA,NA,NA,NA,Campbell et al.1936:113,1,8.5,21,300,Long 1971:264-65; Meggitt 1962:55; Peterson and Long 1986:104-11,1,15,325,Myers 1986:77-89,1,31,NA,25,12,"Hayden pers. comm. 1990, 1992; Long 1970:296-97",1,4,2,3,0.65,4.85,1,1,6.21994,6.22,4.48,1.27,3.14,1.96,1,1,1,1,1,1,4,1,1
B114,Undanbi,-27.28,153.24,-27.28,153.24,n,500.00,23.00,21.74,20.00,5.00,85.00,3,1,0.00,0.00,150.00,0.00,0.00,4,H,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,150,Colliver and Woolston 1975:93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,5,1,1
B115,Jinibarra,-27.25,152.87,-27.25,152.87,n,219.00,13.70,16.00,55.00,30.00,15.00,2,1,20.00,60.00,400.00,8.00,32.00,4,H,NA,NA,NA,NA,NA,NA,NA,NA,1,20,60,400,Morwood 1987:339; Winterbotham 1980:41,1,8,32,Winterbotham 1980:41,1,NA,NA,23,14,Winterbotham 1980:34,1,5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,3,1,1,1,1,1,5,1,2
B116,Karuwali,-24.41,141.64,-24.41,141.64,n,660.00,330.00,2.00,65.00,35.00,0.00,2,1,0.00,0.00,0.00,13.00,275.00,24,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,275,Duncan-Kemp 1964:129,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,1,1
B117,Alyawara,-22.27,135.17,-22.27,135.17,n,560.00,463.00,1.21,65.00,35.00,0.00,2,1,10.00,30.00,230.00,14.00,325.00,19,D,1,1661,NA,NA,NA,NA,NA,Campbell et al.1936:113,1,16,30,230,Binford field notes 1974; Denham 1975:120; O'Connell 1987:85,1,14,325,Binford field notes 1974,1,30,NA,27,13,Denham 1975:137-38,1,4,2,3,0.75,5.93,2,1,3,7.98,6.35,2.37,4.44,3.16,1,1,1,1,1,1,3,1,1
